num,codigo,titulo,descripcion,url_relativa,url_completa
1,VISUALIZALOCALESAUTOS,Habilitar las listas desplegables de lugares rentadoras,Habilitar las listas desplegables de lugares rentadoras,params/001_Habilitar_las_listas_desplegables_de_lugares_rentadoras.html,https://pacardenaz.github.io/parametros-manual/params/001_Habilitar_las_listas_desplegables_de_lugares_rentadoras.html
2,VISUALIZACODIGOSDESCUENTOAUTOS,Visualiza codigos de descuentos en autos,Visualiza codigos de descuentos en autos,params/002_Visualiza_codigos_de_descuentos_en_autos.html,https://pacardenaz.github.io/parametros-manual/params/002_Visualiza_codigos_de_descuentos_en_autos.html
3,VISUALIZAEQUIPAMENTOESPECIALAUTOS,Visualizar pedidos especiales en autos,Visualizar pedidos especiales en autos,params/003_Visualizar_pedidos_especiales_en_autos.html,https://pacardenaz.github.io/parametros-manual/params/003_Visualizar_pedidos_especiales_en_autos.html
4,VISUALIZALISTACOMPLETATIPOSAUTOS,Visualiza los tipos de autos en el buscador de autos,Visualiza los tipos de autos en el buscador de autos,params/004_Visualiza_los_tipos_de_autos_en_el_buscador_de_autos.html,https://pacardenaz.github.io/parametros-manual/params/004_Visualiza_los_tipos_de_autos_en_el_buscador_de_autos.html
5,RESERVAONHOLDAUTOS,Reservas de autos en On-Hold (AgentCars),Reservas de autos en On-Hold (AgentCars),params/005_Reservas_de_autos_en_On-Hold_(AgentCars).html,https://pacardenaz.github.io/parametros-manual/params/005_Reservas_de_autos_en_On-Hold_(AgentCars).html
6,USECARSMAPS,Usa funcionalidad de mapas en el buscador de autos,Usa funcionalidad de mapas en el buscador de autos,params/006_Usa_funcionalidad_de_mapas_en_el_buscador_de_autos.html,https://pacardenaz.github.io/parametros-manual/params/006_Usa_funcionalidad_de_mapas_en_el_buscador_de_autos.html
7,OBLIGAOBSERVARESERVA,Obliga observación de reserva,Parámetro para obligar al solicitante ingresar texto en el campo “Observaciones” al momento de realizar la reserva,params/007_Obliga_observación_de_reserva.html,https://pacardenaz.github.io/parametros-manual/params/007_Obliga_observación_de_reserva.html
8,NUMDIASSIGUIENTE,Numero días siguiente del viaje,Numero días siguiente del viaje,params/008_Numero_días_siguiente_del_viaje.html,https://pacardenaz.github.io/parametros-manual/params/008_Numero_días_siguiente_del_viaje.html
9,AUTOCOMPLETEPASSENGERINFO,Auto completar Pasajero (Perfil pasajero),Auto completar Pasajero (Perfil pasajero),params/009_Auto_completar_Pasajero_(Perfil_pasajero).html,https://pacardenaz.github.io/parametros-manual/params/009_Auto_completar_Pasajero_(Perfil_pasajero).html
10,CLOSERESERVE,Finalizar reserva de forma automática,Finalizar reserva de forma automática,params/010_Finalizar_reserva_de_forma_automática.html,https://pacardenaz.github.io/parametros-manual/params/010_Finalizar_reserva_de_forma_automática.html
